"filename", "language", "HTML", "TypeScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddExerciseToPlan\AddExerciseToPlan.component.html", "HTML", 40, 0, 0, 0, 1, 2, 43
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddExerciseToPlan\AddExerciseToPlan.component.scss", "SCSS", 0, 0, 0, 13, 0, 0, 13
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddExerciseToPlan\AddExerciseToPlan.component.ts", "TypeScript", 0, 101, 0, 0, 2, 14, 117
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddExercise\AddExercise.component.html", "HTML", 46, 0, 0, 0, 11, 2, 59
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddExercise\AddExercise.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddExercise\AddExercise.component.ts", "TypeScript", 0, 107, 0, 0, 0, 17, 124
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddPlan\AddPlan.component.html", "HTML", 65, 0, 0, 0, 15, 2, 82
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddPlan\AddPlan.component.scss", "SCSS", 0, 0, 0, 41, 1, 7, 49
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\AddPlan\AddPlan.component.ts", "TypeScript", 0, 130, 0, 0, 0, 19, 149
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\Bookmarks\Bookmarks.component.html", "HTML", 27, 0, 0, 0, 2, 2, 31
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\Bookmarks\Bookmarks.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\Bookmarks\Bookmarks.component.ts", "TypeScript", 0, 34, 0, 0, 0, 7, 41
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\Dashboard\AdminDashboard.component.html", "HTML", 7, 0, 0, 0, 13, 2, 22
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\Dashboard\AdminDashboard.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\Dashboard\AdminDashboard.component.ts", "TypeScript", 0, 60, 0, 0, 0, 8, 68
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\adminPages\Messages\Messages.component.html", "HTML", 64, 0, 0, 0, 15, 2, 81
